hiseq_id,sample_id,library,observed_stage,stage,sex,site_shrt,region,site,year,month,latitude,longitude,pcl,fl,tl
EGM_11-43,JG_10010701,11,YOY,YOY,M,TCB,EGoM,Terra_Ceia_Bay,2018,OCT,27.55774,-82.58853,490,540,630
EGM_6-13,JG_2016014,6,YOY,YOY,F,TCB,EGoM,Terra_Ceia_Bay,2016,JUN,27.56437,-82.5698,430,480,590
EGM_6-15,JG_2016006,6,YOY,YOY,F,TCB,EGoM,Terra_Ceia_Bay,2016,JUN,27.56631,-82.57346,450,500,610
EGM_6-16,JG_2016015,6,YOY,YOY,M,TCB,EGoM,Terra_Ceia_Bay,2016,JUN,27.5662,-82.57405,450,500,610
EGM_6-17,JG_2015016,6,YOY,YOY,F,TCB,EGoM,Terra_Ceia_Bay,2015,MAY,27.56453,-82.57017,400,440,550
EGM_6-18,JG_2015017,6,YOY,YOY,M,TCB,EGoM,Terra_Ceia_Bay,2015,MAY,27.56453,-82.57017,380,430,530
EGM_6-19,JG_2015018,6,YOY,YOY,F,TCB,EGoM,Terra_Ceia_Bay,2015,MAY,27.56446,-82.57024,430,480,580
EGM_6-20,JG_2015019,6,YOY,YOY,M,TCB,EGoM,Terra_Ceia_Bay,2015,MAY,27.56446,-82.57024,380,420,520
EGM_6-21,JG_2015020,6,YOY,YOY,F,TCB,EGoM,Terra_Ceia_Bay,2015,MAY,27.56446,-82.57024,400,440,540
EGM_6-22,JG_2015021,6,YOY,YOY,F,TCB,EGoM,Terra_Ceia_Bay,2015,MAY,27.56429,-82.57034,390,440,550
EGM_6-23,JG_2015022,6,YOY,YOY,M,TCB,EGoM,Terra_Ceia_Bay,2015,MAY,27.56429,-82.57034,420,470,590
EGM_6-24,JG_2015023,6,YOY,YOY,F,TCB,EGoM,Terra_Ceia_Bay,2015,MAY,27.56429,-82.57034,430,480,590
EGM_6-25,JG_2016034,6,YOY,YOY,M,TCB,EGoM,Terra_Ceia_Bay,2016,JUN,27.56617,-82.57372,470,530,640
EGM_6-26,JG_2016031,6,YOY,YOY,M,TCB,EGoM,Terra_Ceia_Bay,2016,JUN,27.56617,-82.57372,450,490,620
EGM_6-27,JG_2016032,6,YOY,YOY,M,TCB,EGoM,Terra_Ceia_Bay,2016,JUN,27.56617,-82.57372,450,500,620
EGM_6-28,JG_2016033,6,YOY,YOY,F,TCB,EGoM,Terra_Ceia_Bay,2016,JUN,27.56617,-82.57372,420,470,570
EGM_6-29,JG_2016035,6,YOY,YOY,F,TCB,EGoM,Terra_Ceia_Bay,2016,JUN,27.56617,-82.57372,430,480,580
EGM_6-32,JG_2016005,6,YOY,YOY,M,TCB,EGoM,Terra_Ceia_Bay,2016,JUN,27.56631,-82.57346,460,570,630
EGM_6-33,JG_2015014,6,YOY,YOY,M,TCB,EGoM,Terra_Ceia_Bay,2015,MAY,27.56453,-82.57017,420,470,580
EGM_6-34,JG_2016018,6,YOY,YOY,F,TCB,EGoM,Terra_Ceia_Bay,2016,JUN,27.5662,-82.57405,390,430,530
EGM_6-35,JG_2016026,6,YOY,YOY,M,TCB,EGoM,Terra_Ceia_Bay,2016,JUN,27.56617,-82.57372,410,460,560
EGM_6-36,JG_2016022,6,YOY,YOY,F,TCB,EGoM,Terra_Ceia_Bay,2016,JUN,27.5662,-82.57405,490,540,660
EGM_6-37,JG_2015015,6,YOY,YOY,F,TCB,EGoM,Terra_Ceia_Bay,2015,MAY,27.56672,-82.57394,400,440,550
